CustomerID,SegmentID,SegmentName,Country,Recency,Frequency,MonetaryValue,TotalItems,UniqueProducts,AverageOrderValue,AverageItemsPerOrder,CustomerLifetimeDays
12443,0,Inactive Low-Activity,Norway,733,1,485.31,182,21,485.31,182.0,0
12444,1,Developing / Moderate,Norway,22,5,5005.46,1153,138,1001.09,230.6,150
12445,1,Developing / Moderate,Spain,23,2,434.98,206,24,217.49,103.0,398
12446,1,Developing / Moderate,RSA,58,1,1002.31,351,57,1002.31,351.0,0
12447,0,Inactive Low-Activity,Belgium,244,1,476.49,190,26,476.49,190.0,0
12448,0,Inactive Low-Activity,Spain,45,1,449.45,243,22,449.45,243.0,0
12449,2,Recent High-Activity,Belgium,23,6,4835.89,2282,125,805.98,380.33,416
12450,1,Developing / Moderate,Spain,157,5,688.2,442,31,137.64,88.4,318
12451,2,Recent High-Activity,Switzerland,11,8,12669.88,9359,352,1583.73,1169.88,519
12452,1,Developing / Moderate,Switzerland,17,2,430.57,185,21,215.28,92.5,0
12453,1,Developing / Moderate,Austria,135,1,707.09,473,43,707.09,473.0,0
12454,1,Developing / Moderate,Spain,57,5,16679.78,7703,24,3335.96,1540.6,365
12455,2,Recent High-Activity,Cyprus,74,10,5879.95,3302,199,588.0,330.2,648
12456,1,Developing / Moderate,Switzerland,45,3,3181.04,1633,105,1060.35,544.33,210
12457,1,Developing / Moderate,Switzerland,67,8,2995.91,1094,63,374.49,136.75,369
12458,1,Developing / Moderate,Switzerland,72,4,1777.49,986,71,444.37,246.5,416
12459,0,Inactive Low-Activity,Spain,606,1,454.36,258,23,454.36,258.0,0
12460,0,Inactive Low-Activity,Belgium,457,1,326.65,170,18,326.65,170.0,0
12461,1,Developing / Moderate,Switzerland,95,2,826.88,287,35,413.44,143.5,60
12462,1,Developing / Moderate,Spain,19,2,1189.59,536,51,594.79,268.0,285
12463,1,Developing / Moderate,Belgium,54,4,1344.78,776,65,336.19,194.0,188
12464,1,Developing / Moderate,Belgium,11,8,1212.05,112,6,151.51,14.0,299
12465,1,Developing / Moderate,Belgium,18,2,742.19,479,46,371.09,239.5,152
12466,0,Inactive Low-Activity,France,683,1,56.73,1,1,56.73,1.0,0
12467,0,Inactive Low-Activity,USA,424,1,132.8,129,9,132.8,129.0,0
12468,2,Recent High-Activity,Germany,188,5,3670.74,2201,127,734.15,440.2,495
12469,0,Inactive Low-Activity,Thailand,523,2,3070.54,2552,76,1535.27,1276.0,14
12470,0,Inactive Low-Activity,Unspecified,690,1,211.95,95,23,211.95,95.0,0
12471,2,Recent High-Activity,Germany,3,79,39918.19,16858,255,505.29,213.39,730
12472,2,Recent High-Activity,Germany,33,19,16249.29,10378,397,855.23,546.21,693
12473,1,Developing / Moderate,Germany,30,5,3928.05,2414,140,785.61,482.8,162
12474,2,Recent High-Activity,Germany,18,31,12372.75,7940,369,399.12,256.13,649
12475,1,Developing / Moderate,Germany,54,2,1149.64,771,54,574.82,385.5,356
12476,2,Recent High-Activity,Germany,16,23,14083.91,5631,358,612.34,244.83,486
12477,2,Recent High-Activity,Germany,23,9,20276.37,6119,295,2252.93,679.89,601
12478,1,Developing / Moderate,Greece,4,1,680.99,236,36,680.99,236.0,0
12479,1,Developing / Moderate,Germany,12,1,527.2,385,31,527.2,385.0,0
12480,2,Recent High-Activity,Germany,29,7,5464.85,2952,177,780.69,421.71,479
12481,2,Recent High-Activity,Germany,23,15,12185.51,7158,248,812.37,477.2,585
12482,2,Recent High-Activity,Sweden,577,29,23691.4,27042,42,816.94,932.48,77
12483,2,Recent High-Activity,Sweden,18,19,5097.18,2160,68,268.27,113.68,660
12484,2,Recent High-Activity,Spain,33,12,6354.1,3266,329,529.51,272.17,649
12485,0,Inactive Low-Activity,Sweden,530,1,708.1,414,34,708.1,414.0,0
12486,0,Inactive Low-Activity,Sweden,432,1,1037.28,523,49,1037.28,523.0,0
12487,0,Inactive Low-Activity,Sweden,731,1,285.3,174,2,285.3,174.0,0
12488,1,Developing / Moderate,France,10,3,1298.66,529,46,432.89,176.33,66
12489,0,Inactive Low-Activity,France,337,1,334.93,105,15,334.93,105.0,0
12490,2,Recent High-Activity,France,6,21,9823.64,5906,195,467.79,281.24,733
12491,1,Developing / Moderate,France,39,1,460.4,260,25,460.4,260.0,0
12492,1,Developing / Moderate,Germany,64,3,715.21,444,38,238.4,148.0,340
12493,0,Inactive Low-Activity,France,166,2,433.74,207,20,216.87,103.5,32
12494,2,Recent High-Activity,France,16,9,1815.27,979,83,201.7,108.78,561
12495,0,Inactive Low-Activity,Sweden,641,1,357.4,130,17,357.4,130.0,0
12496,0,Inactive Low-Activity,Spain,621,2,45.34,30,10,22.67,15.0,0
12497,1,Developing / Moderate,Germany,82,3,6248.5,5685,41,2082.83,1895.0,563
12498,1,Developing / Moderate,Germany,22,3,403.7,159,21,134.57,53.0,36
12499,0,Inactive Low-Activity,Germany,561,1,393.72,302,27,393.72,302.0,0
12500,2,Recent High-Activity,Germany,24,19,5955.21,3377,88,313.43,177.74,650
12501,1,Developing / Moderate,Germany,337,1,2169.39,1783,149,2169.39,1783.0,0
12502,1,Developing / Moderate,Spain,96,5,3723.87,820,102,744.77,164.0,214
12503,0,Inactive Low-Activity,Spain,585,1,1126.0,561,2,1126.0,561.0,0
12504,1,Developing / Moderate,Germany,19,4,779.05,458,11,194.76,114.5,578
12505,0,Inactive Low-Activity,Italy,409,1,955.2,324,42,955.2,324.0,0
12506,0,Inactive Low-Activity,France,233,1,73.5,23,23,73.5,23.0,0
12507,1,Developing / Moderate,Spain,135,4,1844.06,1256,46,461.01,314.0,450
12508,1,Developing / Moderate,France,27,2,397.88,271,57,198.94,135.5,3
12509,0,Inactive Low-Activity,France,285,1,176.5,55,7,176.5,55.0,0
12510,2,Recent High-Activity,Spain,143,9,5178.02,2049,94,575.34,227.67,593
12511,1,Developing / Moderate,Greece,429,1,3084.02,1753,190,3084.02,1753.0,0
12512,0,Inactive Low-Activity,Israel,67,2,132.18,96,31,66.09,48.0,0
12513,1,Developing / Moderate,France,113,1,612.29,462,35,612.29,462.0,0
12514,1,Developing / Moderate,Italy,268,2,1597.76,840,76,798.88,420.0,374
12515,0,Inactive Low-Activity,Italy,354,1,383.7,131,16,383.7,131.0,0
12516,1,Developing / Moderate,Germany,78,4,2648.62,1952,49,662.15,488.0,522
12517,1,Developing / Moderate,Germany,29,5,2481.6,1361,232,496.32,272.2,162
12518,1,Developing / Moderate,Germany,1,5,2056.89,1318,84,411.38,263.6,110
12519,1,Developing / Moderate,Germany,64,2,716.54,387,34,358.27,193.5,413
12520,1,Developing / Moderate,Germany,80,5,2634.26,1439,121,526.85,287.8,194
12521,0,Inactive Low-Activity,Germany,143,1,599.68,309,38,599.68,309.0,0
12522,0,Inactive Low-Activity,Germany,40,2,192.72,194,11,96.36,97.0,12
12523,2,Recent High-Activity,France,20,23,4352.35,2263,176,189.23,98.39,713
12524,2,Recent High-Activity,Germany,10,17,11126.11,7178,157,654.48,422.24,660
12525,0,Inactive Low-Activity,France,499,3,973.73,509,56,324.58,169.67,149
12526,1,Developing / Moderate,Germany,1,3,1316.66,632,64,438.89,210.67,94
12527,1,Developing / Moderate,Germany,82,5,735.51,526,26,147.1,105.2,448
12528,1,Developing / Moderate,Germany,10,6,1933.48,756,50,322.25,126.0,303
12529,0,Inactive Low-Activity,France,529,1,316.48,192,21,316.48,192.0,0
12530,2,Recent High-Activity,Germany,60,9,3759.26,2713,94,417.7,301.44,583
12531,1,Developing / Moderate,Germany,15,2,1933.2,1119,126,966.6,559.5,672
12532,0,Inactive Low-Activity,France,31,1,349.83,153,16,349.83,153.0,0
12533,0,Inactive Low-Activity,Germany,628,2,1367.89,704,63,683.95,352.0,111
12534,1,Developing / Moderate,Germany,131,1,1089.18,651,63,1089.18,651.0,0
12535,1,Developing / Moderate,France,92,2,716.35,219,28,358.18,109.5,95
12536,1,Developing / Moderate,France,44,3,12601.83,2803,260,4200.61,934.33,16
12537,0,Inactive Low-Activity,Sweden,409,1,732.94,449,43,732.94,449.0,0
12538,1,Developing / Moderate,Spain,30,2,640.45,336,33,320.23,168.0,349
12539,2,Recent High-Activity,Spain,23,7,11214.75,4535,276,1602.11,647.86,694
12540,2,Recent High-Activity,Spain,20,33,22254.49,11019,354,674.38,333.91,713
12541,1,Developing / Moderate,Spain,30,3,981.18,680,46,327.06,226.67,251
12542,0,Inactive Low-Activity,Spain,485,2,481.88,522,39,240.94,261.0,156
12543,0,Inactive Low-Activity,Spain,449,1,980.25,688,43,980.25,688.0,0
12544,0,Inactive Low-Activity,Spain,37,1,372.7,136,19,372.7,136.0,0
12545,1,Developing / Moderate,Spain,76,2,1000.39,523,42,500.19,261.5,184
12546,1,Developing / Moderate,Spain,47,2,1161.5,633,59,580.75,316.5,31
12547,1,Developing / Moderate,Spain,198,3,383.58,309,13,127.86,103.0,303
12548,0,Inactive Low-Activity,Spain,167,1,95.2,49,5,95.2,49.0,0
12549,0,Inactive Low-Activity,USA,576,6,1575.68,1366,38,262.61,227.67,122
12550,1,Developing / Moderate,Spain,80,1,964.83,569,57,964.83,569.0,0
12551,0,Inactive Low-Activity,Spain,358,1,168.0,100,10,168.0,100.0,0
12552,1,Developing / Moderate,Italy,39,2,437.82,88,20,218.91,44.0,1
12553,2,Recent High-Activity,France,9,12,4608.75,2325,109,384.06,193.75,415
12554,0,Inactive Low-Activity,Spain,449,1,468.5,240,26,468.5,240.0,0
12555,0,Inactive Low-Activity,Spain,683,1,129.23,1,1,129.23,1.0,0
12556,1,Developing / Moderate,Spain,51,2,599.56,355,100,299.78,177.5,101
12557,2,Recent High-Activity,Spain,17,8,18096.14,6382,15,2262.02,797.75,706
12558,0,Inactive Low-Activity,USA,8,1,269.96,196,11,269.96,196.0,0
12559,0,Inactive Low-Activity,Germany,311,2,561.71,283,21,280.86,141.5,9
12560,1,Developing / Moderate,Germany,6,3,2134.01,1110,91,711.34,370.0,138
12561,0,Inactive Low-Activity,Germany,303,1,238.85,177,16,238.85,177.0,0
12562,2,Recent High-Activity,France,9,9,4966.92,2327,113,551.88,258.56,427
12563,0,Inactive Low-Activity,Italy,409,1,249.24,113,13,249.24,113.0,0
12564,0,Inactive Low-Activity,France,262,1,456.9,133,21,456.9,133.0,0
12565,0,Inactive Low-Activity,Saudi Arabia,289,1,145.92,80,9,145.92,80.0,0
12566,0,Inactive Low-Activity,Germany,87,1,351.65,265,19,351.65,265.0,0
12567,2,Recent High-Activity,France,23,15,11767.48,5308,365,784.5,353.87,644
12568,0,Inactive Low-Activity,Germany,645,1,70.0,48,5,70.0,48.0,0
12569,2,Recent High-Activity,Germany,3,32,4124.69,1801,92,128.9,56.28,250
12570,0,Inactive Low-Activity,Spain,683,1,77.52,1,1,77.52,1.0,0
12571,1,Developing / Moderate,France,40,2,519.61,523,31,259.81,261.5,82
12572,1,Developing / Moderate,Germany,9,2,1020.42,452,53,510.21,226.0,43
12573,1,Developing / Moderate,France,228,5,717.41,479,107,143.48,95.8,238
12574,0,Inactive Low-Activity,France,316,1,218.45,61,11,218.45,61.0,0
12575,0,Inactive Low-Activity,France,458,2,622.82,315,34,311.41,157.5,69
12576,2,Recent High-Activity,Poland,36,8,2142.72,1494,114,267.84,186.75,491
12577,2,Recent High-Activity,France,36,8,1617.1,1191,259,202.14,148.88,701
12578,2,Recent High-Activity,Italy,22,4,4642.45,2380,149,1160.61,595.0,422
12579,0,Inactive Low-Activity,France,79,1,440.42,285,29,440.42,285.0,0
12580,1,Developing / Moderate,Germany,247,2,1052.9,569,52,526.45,284.5,330
12581,0,Inactive Low-Activity,Germany,40,1,197.71,161,15,197.71,161.0,0
12582,1,Developing / Moderate,Finland,239,4,1980.4,985,88,495.1,246.25,339
12583,2,Recent High-Activity,France,3,27,13591.58,8535,141,503.39,316.11,731
12584,1,Developing / Moderate,Italy,4,9,2338.15,416,44,259.79,46.22,277
12585,1,Developing / Moderate,Germany,235,2,2040.1,1279,77,1020.05,639.5,117
12586,2,Recent High-Activity,Italy,18,4,2062.67,687,82,515.67,171.75,706
12587,0,Inactive Low-Activity,Finland,8,1,144.0,51,4,144.0,51.0,0
12588,1,Developing / Moderate,Finland,40,4,958.78,438,31,239.69,109.5,558
12589,2,Recent High-Activity,France,29,8,4695.66,1764,121,586.96,220.5,661
12590,1,Developing / Moderate,Germany,212,2,9864.26,4283,68,4932.13,2141.5,0
12591,1,Developing / Moderate,Italy,318,3,1338.95,653,63,446.32,217.67,91
12592,1,Developing / Moderate,Germany,93,5,2582.66,1875,42,516.53,375.0,427
12593,1,Developing / Moderate,France,109,3,418.1,206,14,139.37,68.67,110
12594,2,Recent High-Activity,Italy,38,15,5090.11,2768,78,339.34,184.53,609
12595,0,Inactive Low-Activity,Germany,505,1,299.02,271,19,299.02,271.0,0
12596,1,Developing / Moderate,Spain,52,2,618.27,474,25,309.13,237.0,191
12597,1,Developing / Moderate,Spain,20,4,3811.22,2236,184,952.8,559.0,249
12598,2,Recent High-Activity,France,10,11,4534.09,2906,130,412.19,264.18,639
12599,2,Recent High-Activity,France,30,13,2296.72,2189,47,176.67,168.38,548
12600,2,Recent High-Activity,Germany,29,21,4967.42,1383,53,236.54,65.86,704
12601,1,Developing / Moderate,Germany,190,6,681.26,290,24,113.54,48.33,215
12602,0,Inactive Low-Activity,France,59,1,153.12,162,12,153.12,162.0,0
12603,0,Inactive Low-Activity,Germany,22,1,739.2,63,2,739.2,63.0,0
12604,1,Developing / Moderate,France,80,2,254.18,201,15,127.09,100.5,182
12605,1,Developing / Moderate,Germany,377,4,1232.95,929,63,308.24,232.25,82
12606,0,Inactive Low-Activity,Spain,683,1,21.0,1,1,21.0,1.0,0
12607,1,Developing / Moderate,USA,61,1,1579.51,1228,101,1579.51,1228.0,0
12608,0,Inactive Low-Activity,United Kingdom,405,1,415.79,323,16,415.79,323.0,0
12609,2,Recent High-Activity,Germany,79,9,3435.86,1553,129,381.76,172.56,641
12610,1,Developing / Moderate,Italy,23,5,2099.54,1049,85,419.91,209.8,104
12611,1,Developing / Moderate,Italy,53,1,1193.32,846,65,1193.32,846.0,0
12612,0,Inactive Low-Activity,Germany,75,1,704.04,262,19,704.04,262.0,0
12613,2,Recent High-Activity,Germany,58,10,6817.37,4157,218,681.74,415.7,668
12614,0,Inactive Low-Activity,Germany,278,1,315.6,76,20,315.6,76.0,0
12615,2,Recent High-Activity,France,3,8,5740.98,3317,198,717.62,414.62,629
12616,1,Developing / Moderate,France,96,3,1131.1,498,32,377.03,166.0,293
12617,1,Developing / Moderate,France,30,1,352.98,210,39,352.98,210.0,0
12618,0,Inactive Low-Activity,Italy,22,1,177.31,96,11,177.31,96.0,0
12619,2,Recent High-Activity,Germany,17,10,3781.38,3518,55,378.14,351.8,544
12620,1,Developing / Moderate,France,15,3,1339.41,1181,89,446.47,393.67,190
12621,2,Recent High-Activity,Germany,2,35,24311.2,13706,344,694.61,391.6,667
12622,0,Inactive Low-Activity,Germany,233,1,180.1,69,11,180.1,69.0,0
12623,2,Recent High-Activity,Germany,277,7,3747.84,1971,112,535.41,281.57,420
12624,1,Developing / Moderate,France,107,2,641.13,355,36,320.56,177.5,71
12625,1,Developing / Moderate,Germany,212,4,5164.88,3309,144,1291.22,827.25,385
12626,2,Recent High-Activity,Germany,24,9,6620.48,3453,232,735.61,383.67,303
12627,1,Developing / Moderate,Germany,11,7,4478.53,2752,162,639.79,393.14,130
12628,1,Developing / Moderate,Germany,5,3,786.46,448,34,262.15,149.33,60
12629,0,Inactive Low-Activity,Sweden,386,2,1558.22,722,40,779.11,361.0,38
12630,1,Developing / Moderate,Finland,10,2,1270.88,548,60,635.44,274.0,34
12631,2,Recent High-Activity,Finland,58,6,3481.57,1607,131,580.26,267.83,636
12632,0,Inactive Low-Activity,Germany,521,2,804.88,694,32,402.44,347.0,44
12633,2,Recent High-Activity,Germany,59,7,5678.16,3238,220,811.17,462.57,467
12634,0,Inactive Low-Activity,USA,536,2,490.0,337,20,245.0,168.5,13
12635,1,Developing / Moderate,Germany,90,4,2930.41,1949,159,732.6,487.25,367
12636,0,Inactive Low-Activity,USA,739,1,141.0,1,1,141.0,1.0,0
12637,2,Recent High-Activity,France,68,12,8283.81,4257,295,690.32,354.75,476
12638,1,Developing / Moderate,Sweden,34,2,921.49,663,47,460.75,331.5,606
12639,1,Developing / Moderate,Sweden,239,3,1312.37,631,58,437.46,210.33,389
12640,1,Developing / Moderate,France,24,3,1174.58,311,47,391.53,103.67,58
12641,0,Inactive Low-Activity,Sweden,116,1,185.9,72,10,185.9,72.0,0
12642,1,Developing / Moderate,Germany,26,3,1013.26,552,39,337.75,184.0,82
12643,2,Recent High-Activity,France,129,12,8304.82,4665,14,692.07,388.75,483
12644,1,Developing / Moderate,Germany,130,4,1918.49,1032,106,479.62,258.0,565
12645,2,Recent High-Activity,Germany,34,8,3539.3,2125,111,442.41,265.62,635
12646,1,Developing / Moderate,USA,5,2,1346.97,897,43,673.49,448.5,45
12647,2,Recent High-Activity,Germany,23,36,16955.55,6633,240,470.99,184.25,673
12648,1,Developing / Moderate,Germany,155,4,1112.0,518,38,278.0,129.5,547
12649,2,Recent High-Activity,Germany,108,8,2294.65,1959,94,286.83,244.88,589
12650,0,Inactive Low-Activity,France,4,1,314.44,254,20,314.44,254.0,0
12651,0,Inactive Low-Activity,France,335,4,377.75,265,30,94.44,66.25,131
12652,1,Developing / Moderate,France,332,2,1017.03,536,51,508.51,268.0,103
12653,1,Developing / Moderate,Israel,149,3,4160.83,1681,76,1386.94,560.33,378
12654,1,Developing / Moderate,Germany,11,5,601.98,264,31,120.4,52.8,285
12655,0,Inactive Low-Activity,France,424,1,261.35,80,16,261.35,80.0,0
12656,2,Recent High-Activity,France,18,8,6407.83,2860,174,800.98,357.5,545
12657,1,Developing / Moderate,France,12,4,1643.18,1044,35,410.8,261.0,67
12658,1,Developing / Moderate,Germany,19,1,686.05,320,36,686.05,320.0,0
12659,0,Inactive Low-Activity,France,30,1,91.68,105,5,91.68,105.0,0
12660,0,Inactive Low-Activity,France,12,1,245.1,127,13,245.1,127.0,0
12661,0,Inactive Low-Activity,Sweden,437,1,162.0,216,11,162.0,216.0,0
12662,2,Recent High-Activity,Germany,1,20,6726.54,3424,163,336.33,171.2,617
12663,0,Inactive Low-Activity,Germany,625,2,239.4,181,9,119.7,90.5,44
12664,2,Recent High-Activity,Finland,9,11,6070.04,1495,10,551.82,135.91,718
12665,0,Inactive Low-Activity,Germany,325,3,313.6,165,13,104.53,55.0,345
12666,0,Inactive Low-Activity,Israel,395,1,1248.42,370,31,1248.42,370.0,0
12667,1,Developing / Moderate,Finland,59,1,620.13,395,33,620.13,395.0,0
12668,2,Recent High-Activity,Germany,12,10,11383.03,5049,263,1138.3,504.9,666
12669,1,Developing / Moderate,France,151,3,2744.03,1115,98,914.68,371.67,106
12670,2,Recent High-Activity,France,11,7,3760.29,1627,71,537.18,232.43,656
12671,0,Inactive Low-Activity,Germany,607,1,2622.48,1460,45,2622.48,1460.0,0
12672,0,Inactive Low-Activity,France,330,2,437.05,138,22,218.53,69.0,266
12673,1,Developing / Moderate,Germany,6,3,1230.02,700,68,410.01,233.33,396
12674,1,Developing / Moderate,France,39,4,1970.6,1133,52,492.65,283.25,169
12675,0,Inactive Low-Activity,Italy,554,2,957.25,336,111,478.62,168.0,25
12676,2,Recent High-Activity,Sweden,25,11,2843.09,1867,67,258.46,169.73,459
12677,0,Inactive Low-Activity,France,556,2,395.1,176,13,197.55,88.0,111
