CustomerID,Country,Recency,Frequency,MonetaryValue,TotalItems,UniqueProducts,AverageOrderValue,AverageItemsPerOrder,CustomerLifetimeDays
12391,Cyprus,22,6,2724.84,1204,241,454.14,200.67,641
12392,Australia,592,1,234.75,73,7,234.75,73.00,0
12393,Australia,73,6,2399.45,1311,63,399.91,218.50,356
12394,Belgium,64,2,1272.48,819,26,636.24,409.50,154
12395,Belgium,20,15,4721.17,3205,145,314.74,213.67,583
12396,RSA,675,1,931.43,591,65,931.43,591.00,0
12397,Belgium,36,2,2409.90,1263,110,1204.95,631.50,100
12398,Switzerland,46,1,1635.66,1394,85,1635.66,1394.00,0
12399,Belgium,120,7,1962.30,2198,67,280.33,314.00,525
12400,Australia,415,1,205.25,91,11,205.25,91.00,0
12401,Belgium,304,1,84.30,11,5,84.30,11.00,0
12402,Belgium,324,6,1256.90,584,43,209.48,97.33,347
12403,Denmark,50,2,1019.36,260,5,509.68,130.00,472
12404,Finland,683,1,63.24,1,1,63.24,1.00,0
12405,Finland,149,1,1710.39,857,54,1710.39,857.00,0
12406,Denmark,23,5,6390.36,3416,114,1278.07,683.20,675
12407,Belgium,50,5,1708.12,1416,57,341.62,283.20,215
12408,Belgium,33,8,4340.77,2229,104,542.60,278.62,466
12409,Switzerland,79,7,23419.29,13143,177,3345.61,1877.57,487
12410,Switzerland,309,3,1013.71,341,36,337.90,113.67,194
12411,Australia,410,1,346.90,138,22,346.90,138.00,0
12412,Denmark,75,6,2596.93,1997,82,432.82,332.83,465
12413,France,67,4,999.45,319,41,249.86,79.75,336
12414,Austria,218,6,952.41,495,21,158.73,82.50,246
12415,Australia,25,28,144458.37,91447,498,5159.23,3265.96,503
12416,Australia,657,1,202.56,132,11,202.56,132.00,0
12417,Belgium,4,20,6797.41,2884,270,339.87,144.20,730
12418,Switzerland,113,4,2021.20,1088,90,505.30,272.00,518
12419,Spain,386,2,503.01,231,23,251.50,115.50,28
12420,Cyprus,64,1,600.39,345,29,600.39,345.00,0
12421,Spain,16,6,1098.60,652,44,183.10,108.67,490
12422,Switzerland,96,17,5231.80,2596,137,307.75,152.71,626
12423,Belgium,1,10,2622.39,1793,128,262.24,179.30,465
12424,Australia,163,4,3340.03,2025,78,835.01,506.25,386
12425,Portugal,79,2,1741.41,1147,87,870.71,573.50,370
12426,Germany,195,2,1345.21,584,73,672.61,292.00,468
12427,Germany,22,3,825.80,533,26,275.27,177.67,350
12428,Finland,26,9,7956.46,3536,258,884.05,392.89,258
12429,Denmark,10,8,6204.41,2890,124,775.55,361.25,537
12430,Norway,44,1,256.40,117,11,256.40,117.00,0
12431,Australia,36,27,10432.22,4600,244,386.38,170.37,658
12432,Norway,43,5,5059.32,1801,107,1011.86,360.20,130
12433,Norway,1,10,16794.14,13534,285,1679.41,1353.40,476
12434,Australia,85,3,1103.43,532,62,367.81,177.33,297
12435,Denmark,80,6,13925.93,4958,88,2320.99,826.33,658
12436,Norway,100,1,509.01,211,16,509.01,211.00,0
12437,France,2,39,12683.40,8000,273,325.22,205.13,736
12438,Norway,15,2,2906.85,1180,84,1453.42,590.00,126
12439,Cyprus,683,2,1142.88,478,69,571.44,239.00,43
12440,Austria,463,2,859.20,331,21,429.60,165.50,255
12441,France,367,1,173.55,121,11,173.55,121.00,0
12442,Spain,4,1,172.06,182,12,172.06,182.00,0
12443,Norway,733,1,485.31,182,21,485.31,182.00,0
12444,Norway,22,5,5005.46,1153,138,1001.09,230.60,150
12445,Spain,23,2,434.98,206,24,217.49,103.00,398
12446,RSA,58,1,1002.31,351,57,1002.31,351.00,0
12447,Belgium,244,1,476.49,190,26,476.49,190.00,0
12448,Spain,45,1,449.45,243,22,449.45,243.00,0
12449,Belgium,23,6,4835.89,2282,125,805.98,380.33,416
12450,Spain,157,5,688.20,442,31,137.64,88.40,318
12451,Switzerland,11,8,12669.88,9359,352,1583.73,1169.88,519
12452,Switzerland,17,2,430.57,185,21,215.28,92.50,0
12453,Austria,135,1,707.09,473,43,707.09,473.00,0
12454,Spain,57,5,16679.78,7703,24,3335.96,1540.60,365
12455,Cyprus,74,10,5879.95,3302,199,588.00,330.20,648
12456,Switzerland,45,3,3181.04,1633,105,1060.35,544.33,210
12457,Switzerland,67,8,2995.91,1094,63,374.49,136.75,369
12458,Switzerland,72,4,1777.49,986,71,444.37,246.50,416
12459,Spain,606,1,454.36,258,23,454.36,258.00,0
12460,Belgium,457,1,326.65,170,18,326.65,170.00,0
12461,Switzerland,95,2,826.88,287,35,413.44,143.50,60
12462,Spain,19,2,1189.59,536,51,594.79,268.00,285
12463,Belgium,54,4,1344.78,776,65,336.19,194.00,188
12464,Belgium,11,8,1212.05,112,6,151.51,14.00,299
12465,Belgium,18,2,742.19,479,46,371.09,239.50,152
12466,France,683,1,56.73,1,1,56.73,1.00,0
12467,USA,424,1,132.80,129,9,132.80,129.00,0
12468,Germany,188,5,3670.74,2201,127,734.15,440.20,495
12469,Thailand,523,2,3070.54,2552,76,1535.27,1276.00,14
12470,Unspecified,690,1,211.95,95,23,211.95,95.00,0
12471,Germany,3,79,39918.19,16858,255,505.29,213.39,730
12472,Germany,33,19,16249.29,10378,397,855.23,546.21,693
12473,Germany,30,5,3928.05,2414,140,785.61,482.80,162
12474,Germany,18,31,12372.75,7940,369,399.12,256.13,649
12475,Germany,54,2,1149.64,771,54,574.82,385.50,356
12476,Germany,16,23,14083.91,5631,358,612.34,244.83,486
12477,Germany,23,9,20276.37,6119,295,2252.93,679.89,601
12478,Greece,4,1,680.99,236,36,680.99,236.00,0
12479,Germany,12,1,527.20,385,31,527.20,385.00,0
12480,Germany,29,7,5464.85,2952,177,780.69,421.71,479
12481,Germany,23,15,12185.51,7158,248,812.37,477.20,585
12482,Sweden,577,29,23691.40,27042,42,816.94,932.48,77
12483,Sweden,18,19,5097.18,2160,68,268.27,113.68,660
12484,Spain,33,12,6354.10,3266,329,529.51,272.17,649
12485,Sweden,530,1,708.10,414,34,708.10,414.00,0
12486,Sweden,432,1,1037.28,523,49,1037.28,523.00,0
12487,Sweden,731,1,285.30,174,2,285.30,174.00,0
12488,France,10,3,1298.66,529,46,432.89,176.33,66
12489,France,337,1,334.93,105,15,334.93,105.00,0
12490,France,6,21,9823.64,5906,195,467.79,281.24,733
12491,France,39,1,460.40,260,25,460.40,260.00,0
12492,Germany,64,3,715.21,444,38,238.40,148.00,340
12493,France,166,2,433.74,207,20,216.87,103.50,32
12494,France,16,9,1815.27,979,83,201.70,108.78,561
12495,Sweden,641,1,357.40,130,17,357.40,130.00,0
12496,Spain,621,2,45.34,30,10,22.67,15.00,0
12497,Germany,82,3,6248.50,5685,41,2082.83,1895.00,563
12498,Germany,22,3,403.70,159,21,134.57,53.00,36
12499,Germany,561,1,393.72,302,27,393.72,302.00,0
12500,Germany,24,19,5955.21,3377,88,313.43,177.74,650
12501,Germany,337,1,2169.39,1783,149,2169.39,1783.00,0
12502,Spain,96,5,3723.87,820,102,744.77,164.00,214
12503,Spain,585,1,1126.00,561,2,1126.00,561.00,0
12504,Germany,19,4,779.05,458,11,194.76,114.50,578
12505,Italy,409,1,955.20,324,42,955.20,324.00,0
12506,France,233,1,73.50,23,23,73.50,23.00,0
12507,Spain,135,4,1844.06,1256,46,461.01,314.00,450
12508,France,27,2,397.88,271,57,198.94,135.50,3
12509,France,285,1,176.50,55,7,176.50,55.00,0
12510,Spain,143,9,5178.02,2049,94,575.34,227.67,593
12511,Greece,429,1,3084.02,1753,190,3084.02,1753.00,0
12512,Israel,67,2,132.18,96,31,66.09,48.00,0
12513,France,113,1,612.29,462,35,612.29,462.00,0
12514,Italy,268,2,1597.76,840,76,798.88,420.00,374
12515,Italy,354,1,383.70,131,16,383.70,131.00,0
12516,Germany,78,4,2648.62,1952,49,662.15,488.00,522
12517,Germany,29,5,2481.60,1361,232,496.32,272.20,162
12518,Germany,1,5,2056.89,1318,84,411.38,263.60,110
12519,Germany,64,2,716.54,387,34,358.27,193.50,413
12520,Germany,80,5,2634.26,1439,121,526.85,287.80,194
12521,Germany,143,1,599.68,309,38,599.68,309.00,0
12522,Germany,40,2,192.72,194,11,96.36,97.00,12
12523,France,20,23,4352.35,2263,176,189.23,98.39,713
12524,Germany,10,17,11126.11,7178,157,654.48,422.24,660
12525,France,499,3,973.73,509,56,324.58,169.67,149
12526,Germany,1,3,1316.66,632,64,438.89,210.67,94
12527,Germany,82,5,735.51,526,26,147.10,105.20,448
12528,Germany,10,6,1933.48,756,50,322.25,126.00,303
12529,France,529,1,316.48,192,21,316.48,192.00,0
12530,Germany,60,9,3759.26,2713,94,417.70,301.44,583
12531,Germany,15,2,1933.20,1119,126,966.60,559.50,672
12532,France,31,1,349.83,153,16,349.83,153.00,0
12533,Germany,628,2,1367.89,704,63,683.95,352.00,111
12534,Germany,131,1,1089.18,651,63,1089.18,651.00,0
12535,France,92,2,716.35,219,28,358.18,109.50,95
12536,France,44,3,12601.83,2803,260,4200.61,934.33,16
12537,Sweden,409,1,732.94,449,43,732.94,449.00,0
12538,Spain,30,2,640.45,336,33,320.23,168.00,349
12539,Spain,23,7,11214.75,4535,276,1602.11,647.86,694
12540,Spain,20,33,22254.49,11019,354,674.38,333.91,713
12541,Spain,30,3,981.18,680,46,327.06,226.67,251
12542,Spain,485,2,481.88,522,39,240.94,261.00,156
12543,Spain,449,1,980.25,688,43,980.25,688.00,0
12544,Spain,37,1,372.70,136,19,372.70,136.00,0
12545,Spain,76,2,1000.39,523,42,500.19,261.50,184
12546,Spain,47,2,1161.50,633,59,580.75,316.50,31
12547,Spain,198,3,383.58,309,13,127.86,103.00,303
12548,Spain,167,1,95.20,49,5,95.20,49.00,0
12549,USA,576,6,1575.68,1366,38,262.61,227.67,122
12550,Spain,80,1,964.83,569,57,964.83,569.00,0
12551,Spain,358,1,168.00,100,10,168.00,100.00,0
12552,Italy,39,2,437.82,88,20,218.91,44.00,1
12553,France,9,12,4608.75,2325,109,384.06,193.75,415
12554,Spain,449,1,468.50,240,26,468.50,240.00,0
12555,Spain,683,1,129.23,1,1,129.23,1.00,0
12556,Spain,51,2,599.56,355,100,299.78,177.50,101
12557,Spain,17,8,18096.14,6382,15,2262.02,797.75,706
12558,USA,8,1,269.96,196,11,269.96,196.00,0
12559,Germany,311,2,561.71,283,21,280.86,141.50,9
12560,Germany,6,3,2134.01,1110,91,711.34,370.00,138
12561,Germany,303,1,238.85,177,16,238.85,177.00,0
12562,France,9,9,4966.92,2327,113,551.88,258.56,427
12563,Italy,409,1,249.24,113,13,249.24,113.00,0
12564,France,262,1,456.90,133,21,456.90,133.00,0
12565,Saudi Arabia,289,1,145.92,80,9,145.92,80.00,0
12566,Germany,87,1,351.65,265,19,351.65,265.00,0
12567,France,23,15,11767.48,5308,365,784.50,353.87,644
12568,Germany,645,1,70.00,48,5,70.00,48.00,0
12569,Germany,3,32,4124.69,1801,92,128.90,56.28,250
12570,Spain,683,1,77.52,1,1,77.52,1.00,0
12571,France,40,2,519.61,523,31,259.81,261.50,82
12572,Germany,9,2,1020.42,452,53,510.21,226.00,43
12573,France,228,5,717.41,479,107,143.48,95.80,238
12574,France,316,1,218.45,61,11,218.45,61.00,0
12575,France,458,2,622.82,315,34,311.41,157.50,69
12576,Poland,36,8,2142.72,1494,114,267.84,186.75,491
12577,France,36,8,1617.10,1191,259,202.14,148.88,701
12578,Italy,22,4,4642.45,2380,149,1160.61,595.00,422
12579,France,79,1,440.42,285,29,440.42,285.00,0
12580,Germany,247,2,1052.90,569,52,526.45,284.50,330
12581,Germany,40,1,197.71,161,15,197.71,161.00,0
12582,Finland,239,4,1980.40,985,88,495.10,246.25,339
12583,France,3,27,13591.58,8535,141,503.39,316.11,731
12584,Italy,4,9,2338.15,416,44,259.79,46.22,277
12585,Germany,235,2,2040.10,1279,77,1020.05,639.50,117
12586,Italy,18,4,2062.67,687,82,515.67,171.75,706
12587,Finland,8,1,144.00,51,4,144.00,51.00,0
12588,Finland,40,4,958.78,438,31,239.69,109.50,558
12589,France,29,8,4695.66,1764,121,586.96,220.50,661
12590,Germany,212,2,9864.26,4283,68,4932.13,2141.50,0
12591,Italy,318,3,1338.95,653,63,446.32,217.67,91
12592,Germany,93,5,2582.66,1875,42,516.53,375.00,427
12593,France,109,3,418.10,206,14,139.37,68.67,110
12594,Italy,38,15,5090.11,2768,78,339.34,184.53,609
12595,Germany,505,1,299.02,271,19,299.02,271.00,0
12596,Spain,52,2,618.27,474,25,309.13,237.00,191
12597,Spain,20,4,3811.22,2236,184,952.80,559.00,249
12598,France,10,11,4534.09,2906,130,412.19,264.18,639
12599,France,30,13,2296.72,2189,47,176.67,168.38,548
12600,Germany,29,21,4967.42,1383,53,236.54,65.86,704
12601,Germany,190,6,681.26,290,24,113.54,48.33,215
12602,France,59,1,153.12,162,12,153.12,162.00,0
12603,Germany,22,1,739.20,63,2,739.20,63.00,0
12604,France,80,2,254.18,201,15,127.09,100.50,182
12605,Germany,377,4,1232.95,929,63,308.24,232.25,82
12606,Spain,683,1,21.00,1,1,21.00,1.00,0
12607,USA,61,1,1579.51,1228,101,1579.51,1228.00,0
12608,United Kingdom,405,1,415.79,323,16,415.79,323.00,0
12609,Germany,79,9,3435.86,1553,129,381.76,172.56,641
12610,Italy,23,5,2099.54,1049,85,419.91,209.80,104
12611,Italy,53,1,1193.32,846,65,1193.32,846.00,0
12612,Germany,75,1,704.04,262,19,704.04,262.00,0
12613,Germany,58,10,6817.37,4157,218,681.74,415.70,668
12614,Germany,278,1,315.60,76,20,315.60,76.00,0
12615,France,3,8,5740.98,3317,198,717.62,414.62,629
12616,France,96,3,1131.10,498,32,377.03,166.00,293
12617,France,30,1,352.98,210,39,352.98,210.00,0
12618,Italy,22,1,177.31,96,11,177.31,96.00,0
12619,Germany,17,10,3781.38,3518,55,378.14,351.80,544
12620,France,15,3,1339.41,1181,89,446.47,393.67,190
12621,Germany,2,35,24311.20,13706,344,694.61,391.60,667
12622,Germany,233,1,180.10,69,11,180.10,69.00,0
12623,Germany,277,7,3747.84,1971,112,535.41,281.57,420
12624,France,107,2,641.13,355,36,320.56,177.50,71
12625,Germany,212,4,5164.88,3309,144,1291.22,827.25,385
12626,Germany,24,9,6620.48,3453,232,735.61,383.67,303
12627,Germany,11,7,4478.53,2752,162,639.79,393.14,130
12628,Germany,5,3,786.46,448,34,262.15,149.33,60
12629,Sweden,386,2,1558.22,722,40,779.11,361.00,38
12630,Finland,10,2,1270.88,548,60,635.44,274.00,34
12631,Finland,58,6,3481.57,1607,131,580.26,267.83,636
12632,Germany,521,2,804.88,694,32,402.44,347.00,44
12633,Germany,59,7,5678.16,3238,220,811.17,462.57,467
12634,USA,536,2,490.00,337,20,245.00,168.50,13
12635,Germany,90,4,2930.41,1949,159,732.60,487.25,367
12636,USA,739,1,141.00,1,1,141.00,1.00,0
12637,France,68,12,8283.81,4257,295,690.32,354.75,476
12638,Sweden,34,2,921.49,663,47,460.75,331.50,606
12639,Sweden,239,3,1312.37,631,58,437.46,210.33,389
12640,France,24,3,1174.58,311,47,391.53,103.67,58
12641,Sweden,116,1,185.90,72,10,185.90,72.00,0
12642,Germany,26,3,1013.26,552,39,337.75,184.00,82
12643,France,129,12,8304.82,4665,14,692.07,388.75,483
12644,Germany,130,4,1918.49,1032,106,479.62,258.00,565
12645,Germany,34,8,3539.30,2125,111,442.41,265.62,635
12646,USA,5,2,1346.97,897,43,673.49,448.50,45
12647,Germany,23,36,16955.55,6633,240,470.99,184.25,673
12648,Germany,155,4,1112.00,518,38,278.00,129.50,547
12649,Germany,108,8,2294.65,1959,94,286.83,244.88,589
12650,France,4,1,314.44,254,20,314.44,254.00,0
12651,France,335,4,377.75,265,30,94.44,66.25,131
12652,France,332,2,1017.03,536,51,508.51,268.00,103
12653,Israel,149,3,4160.83,1681,76,1386.94,560.33,378
12654,Germany,11,5,601.98,264,31,120.40,52.80,285
12655,France,424,1,261.35,80,16,261.35,80.00,0
12656,France,18,8,6407.83,2860,174,800.98,357.50,545
12657,France,12,4,1643.18,1044,35,410.80,261.00,67
12658,Germany,19,1,686.05,320,36,686.05,320.00,0
12659,France,30,1,91.68,105,5,91.68,105.00,0
12660,France,12,1,245.10,127,13,245.10,127.00,0
12661,Sweden,437,1,162.00,216,11,162.00,216.00,0
12662,Germany,1,20,6726.54,3424,163,336.33,171.20,617
12663,Germany,625,2,239.40,181,9,119.70,90.50,44
12664,Finland,9,11,6070.04,1495,10,551.82,135.91,718
12665,Germany,325,3,313.60,165,13,104.53,55.00,345
12666,Israel,395,1,1248.42,370,31,1248.42,370.00,0
12667,Finland,59,1,620.13,395,33,620.13,395.00,0
12668,Germany,12,10,11383.03,5049,263,1138.30,504.90,666
12669,France,151,3,2744.03,1115,98,914.68,371.67,106
12670,France,11,7,3760.29,1627,71,537.18,232.43,656
12671,Germany,607,1,2622.48,1460,45,2622.48,1460.00,0
12672,France,330,2,437.05,138,22,218.53,69.00,266
12673,Germany,6,3,1230.02,700,68,410.01,233.33,396
12674,France,39,4,1970.60,1133,52,492.65,283.25,169
12675,Italy,554,2,957.25,336,111,478.62,168.00,25
12676,Sweden,25,11,2843.09,1867,67,258.46,169.73,459
12677,France,556,2,395.10,176,13,197.55,88.00,111
12678,France,43,21,34281.18,22372,199,1632.44,1065.33,659
12679,France,59,4,1113.02,554,43,278.25,138.50,225
12680,France,1,4,880.81,444,33,220.20,111.00,113
12681,France,15,45,29834.76,17011,459,662.99,378.02,712
12682,France,4,52,22950.22,10522,327,441.35,202.35,735
12683,France,5,21,11633.70,7019,236,553.99,334.24,722
12684,France,8,7,2283.63,1985,61,326.23,283.57,206
12685,France,29,6,2863.08,1523,117,477.18,253.83,65
12686,France,372,1,89.14,107,7,89.14,107.00,0
12687,Sweden,481,2,2138.91,1403,126,1069.45,701.50,0
12688,Israel,114,1,4873.81,3028,171,4873.81,3028.00,0
12689,France,26,2,1247.61,628,57,623.80,314.00,102
12690,France,206,1,389.01,106,16,389.01,106.00,0
12691,France,29,7,1170.40,445,24,167.20,63.57,392
12692,France,638,1,110.95,36,13,110.95,36.00,0
12693,Germany,128,7,1703.02,536,63,243.29,76.57,395
12694,France,71,3,1843.35,1355,69,614.45,451.67,351
12695,France,8,7,1407.12,454,46,201.02,64.86,658
12696,Finland,435,2,851.91,564,43,425.95,282.00,74
12697,Sweden,29,3,957.59,508,37,319.20,169.33,141
12698,Germany,591,1,339.75,111,16,339.75,111.00,0
12699,Germany,418,1,638.11,373,41,638.11,373.00,0
12700,France,8,4,4939.99,2967,193,1235.00,741.75,208
12701,Germany,80,6,2446.41,1727,118,407.73,287.83,554
12702,Germany,20,1,219.00,53,12,219.00,53.00,0
12703,Germany,72,4,1006.53,595,56,251.63,148.75,613
12704,Finland,8,8,2340.84,1006,64,292.61,125.75,162
12705,Germany,16,14,11762.10,7188,320,840.15,513.43,518
12707,France,292,1,603.42,256,33,603.42,256.00,0
12708,Germany,30,18,5117.66,2432,130,284.31,135.11,692
12709,Germany,16,34,30291.76,13772,189,890.93,405.06,715
12710,Germany,97,3,1149.02,851,75,383.01,283.67,105
12711,Germany,612,2,1339.05,770,56,669.52,385.00,65
12712,Germany,29,21,6723.03,2205,126,320.14,105.00,702
12713,Germany,1,1,848.55,508,38,848.55,508.00,0
12714,France,10,12,14093.71,8774,436,1174.48,731.17,726
12715,Sweden,107,1,343.36,192,20,343.36,192.00,0
12716,France,4,2,1053.49,708,60,526.75,354.00,130
12717,Greece,152,3,1308.91,600,60,436.30,200.00,439
12718,France,72,1,238.25,203,19,238.25,203.00,0
12719,France,6,2,644.95,374,34,322.48,187.00,60
12720,Germany,3,30,7787.28,6018,262,259.58,200.60,504
12721,France,32,8,4013.08,2655,183,501.63,331.88,440
12722,France,86,4,997.63,566,50,249.41,141.50,65
12723,France,4,5,725.07,434,53,145.01,86.80,62
12724,France,6,7,2317.52,1379,94,331.07,197.00,530
12725,Italy,372,4,2266.76,1142,92,566.69,285.50,213
12726,France,29,11,4014.60,4618,63,364.96,419.82,596
12727,France,11,10,5679.53,2832,132,567.95,283.20,644
12728,France,72,5,1070.17,543,48,214.03,108.60,312
12729,France,114,1,453.01,233,26,453.01,233.00,0
12730,Germany,522,1,829.25,234,47,829.25,234.00,0
12731,France,24,17,25775.71,11641,137,1516.22,684.76,624
12732,France,180,1,236.26,111,12,236.26,111.00,0
12733,USA,235,4,2424.87,896,117,606.22,224.00,455
12734,France,353,3,639.65,265,17,213.22,88.33,40
12735,France,316,2,779.57,368,38,389.78,184.00,22
12736,France,333,1,234.00,173,4,234.00,173.00,0
12737,France,499,2,3710.50,2,2,1855.25,1.00,0
12738,Germany,373,1,155.35,148,11,155.35,148.00,0
12739,United Arab Emirates,79,4,2726.73,951,85,681.68,237.75,316
12740,France,64,1,427.60,342,27,427.60,342.00,0
12741,USA,530,2,406.07,214,16,203.03,107.00,4
12742,United Arab Emirates,626,1,1201.52,1359,67,1201.52,1359.00,0
12743,Unspecified,135,2,540.13,315,114,270.06,157.50,0
12744,Singapore,52,11,25317.06,6994,245,2301.55,635.82,540
12745,United Kingdom,487,3,925.41,468,21,308.47,156.00,196
12746,United Kingdom,541,1,254.55,97,17,254.55,97.00,0
12747,United Kingdom,3,26,8898.48,2640,85,342.25,101.54,730
12748,United Kingdom,1,336,53539.64,37109,2286,159.34,110.44,735
12749,United Kingdom,4,9,6897.36,2360,260,766.37,262.22,518
12750,Poland,129,1,275.88,137,15,275.88,137.00,0
12751,Brazil,445,1,268.27,189,61,268.27,189.00,0
12752,Norway,82,1,4366.78,2262,53,4366.78,2262.00,0
12753,Japan,23,6,21429.39,11421,132,3571.57,1903.50,340
12754,Japan,236,3,3010.74,6481,49,1003.58,2160.33,73
12755,Japan,281,11,5236.26,2293,34,476.02,208.45,413
12756,Japan,87,1,112.08,144,4,112.08,144.00,0
12757,Portugal,16,13,7834.65,2395,237,602.67,184.23,196
12758,Portugal,117,7,9903.24,6155,187,1414.75,879.29,622
12759,Netherlands,53,8,5020.74,3202,206,627.59,400.25,683
12760,Netherlands,456,1,347.80,198,21,347.80,198.00,0
12761,Netherlands,458,2,782.95,281,27,391.48,140.50,7
12762,Portugal,8,2,1898.52,1227,62,949.26,613.50,18
12763,Japan,139,2,494.08,316,16,247.04,158.00,231
12764,Lebanon,317,1,1693.88,386,45,1693.88,386.00,0
12765,Netherlands,473,6,1404.58,1009,49,234.10,168.17,169
12766,Portugal,4,9,8918.99,5022,253,991.00,558.00,404
12767,Korea,376,1,949.82,598,43,949.82,598.00,0
12768,Korea,451,1,168.69,102,10,168.69,102.00,0
12769,Brazil,239,1,1143.60,356,32,1143.60,356.00,0
12770,Japan,211,2,3246.45,1843,19,1623.22,921.50,246
12771,Portugal,486,1,282.30,104,15,282.30,104.00,0
12772,Portugal,60,1,892.47,556,55,892.47,556.00,0
12773,Portugal,565,1,124.25,109,6,124.25,109.00,0
12774,Netherlands,536,1,98.70,53,6,98.70,53.00,0
12775,Netherlands,18,7,1686.12,1083,55,240.87,154.71,392
12776,Portugal,668,1,55.50,46,4,55.50,46.00,0
12777,United Kingdom,458,1,519.45,458,26,519.45,458.00,0
12778,Netherlands,20,9,1775.68,1735,77,197.30,192.78,583
12779,Poland,38,14,6474.11,3501,142,462.44,250.07,699
12780,Netherlands,599,1,337.40,285,20,337.40,285.00,0
12781,Czech Republic,64,2,826.74,671,25,413.37,335.50,221
12782,Portugal,5,11,4618.24,2017,142,419.84,183.36,515
12783,Portugal,3,6,2225.91,624,76,370.98,104.00,73
12784,Portugal,10,3,1763.15,862,121,587.72,287.33,520
12785,Portugal,365,3,1100.40,453,42,366.80,151.00,367
12786,Netherlands,610,1,728.50,324,18,728.50,324.00,0
12787,Netherlands,10,4,862.18,510,30,215.54,127.50,404
12788,Netherlands,464,4,444.90,194,20,111.22,48.50,65
12789,Netherlands,66,3,273.35,36,5,91.12,12.00,628
12790,Netherlands,193,2,591.85,306,36,295.93,153.00,218
12791,Netherlands,374,6,863.51,353,17,143.92,58.83,251
12792,Portugal,257,2,827.01,394,39,413.50,197.00,278
12793,Portugal,335,3,885.53,461,34,295.18,153.67,67
12794,Portugal,54,2,860.41,592,43,430.20,296.00,45
12795,Portugal,19,1,430.48,68,14,430.48,68.00,0
12796,Netherlands,629,1,381.00,182,7,381.00,182.00,0
12797,Portugal,366,2,552.08,215,27,276.04,107.50,59
12798,Japan,11,4,8510.93,8455,27,2127.73,2113.75,411
12799,Japan,530,1,219.35,137,15,219.35,137.00,0
12800,Portugal,471,3,584.25,284,31,194.75,94.67,206
12801,Sweden,501,1,1071.82,505,50,1071.82,505.00,0
12802,Netherlands,187,7,2416.42,1972,108,345.20,281.71,377
12803,Netherlands,394,1,1092.81,872,55,1092.81,872.00,0
12804,Netherlands,466,2,325.37,270,60,162.69,135.00,35
12805,Netherlands,382,4,1434.95,593,44,358.74,148.25,293
